[1510409560, 1.9952623149688795, -57, 111, 108, '0x0', 30]
[1510409562, 0.7079457843841379, -48, 111, 110, '0x0', 30]
[1510409566, 0.6309573444801932, -47, 111, 114, '0x0', 30]
[1510409572, 0.7943282347242815, -49, 111, 120, '0x0', 30]
[1510409574, 1.5848931924611136, -55, 111, 122, '0x0', 30]
[1510409576, 0.5011872336272722, -45, 111, 124, '0x0', 30]
[1510409578, 0.3981071705534972, -43, 111, 126, '0x0', 30]
[1510409580, 0.44668359215096315, -44, 111, 128, '0x0', 30]
[1510409584, 1.0, -51, 111, 132, '0x0', 30]
[1510409588, 0.3981071705534972, -43, 111, 136, '0x0', 30]
[1510409590, 0.35481338923357547, -42, 111, 138, '0x0', 30]
[1510409594, 1.0, -51, 111, 142, '0x0', 30]
[1510409596, 0.3981071705534972, -43, 111, 144, '0x0', 30]
[1510409602, 0.8912509381337456, -50, 111, 150, '0x0', 30]
[1510409604, 0.3981071705534972, -43, 111, 152, '0x0', 30]
[1510409608, 0.7943282347242815, -49, 111, 156, '0x0', 30]
[1510409610, 0.3981071705534972, -43, 111, 158, '0x0', 30]
[1510409618, 0.3981071705534972, -43, 111, 166, '0x0', 30]
[1510409640, 3.9810717055349722, -63, 111, 188, '0x0', 30]
[1510409642, 0.7079457843841379, -48, 111, 190, '0x0', 30]
[1510409644, 1.1220184543019633, -52, 111, 192, '0x0', 30]
[1510409646, 1.1220184543019633, -52, 111, 194, '0x0', 30]
[1510409652, 1.2589254117941673, -53, 111, 200, '0x0', 30]
[1510409654, 1.5848931924611136, -55, 111, 202, '0x0', 30]
[1510409660, 1.5848931924611136, -55, 111, 208, '0x0', 30]
[1510409662, 0.7943282347242815, -49, 111, 210, '0x0', 30]
[1510409664, 0.7943282347242815, -49, 111, 212, '0x0', 30]
[1510409666, 0.7943282347242815, -49, 111, 214, '0x0', 30]
[1510409668, 0.7079457843841379, -48, 111, 216, '0x0', 30]
[1510409670, 0.5011872336272722, -45, 111, 218, '0x0', 30]
[1510409678, 0.7079457843841379, -48, 111, 226, '0x0', 30]
